k01.01,k01.02,k01.03,k01.04,k01.05,k01.06,k02.07,k02.08,k02.09,k03.10,k03.11,k03.12,k03.13,k03.14,k03.15,k03.16,k03.17,k03.18,k03.19,k03.20,k03.21,k03.22,k03.23,k03.24,k05.34,k04.26,k04.27,k04.28,k04.29,k04.30,k04.31,k03.25,k04.32,k04.33,k05.35,k05.36,k05.37,k05.38,k05.39,k05.40,k05.41,k05.42,k05.43,k05.44,k05.45,k05.46,k05.47,k05.48,k06.49,k06.50,k06.51,k07.52,k07.53,k07.54,k07.55,k07.56,k08.57,k08.58,k09.59,k09.60,k09.61,k09.62,k09.63,k09.64,k09.65,k10.66,k10.67,k10.68,k10.69,k10.70,k10.71,k10.72,k10.73,k10.74,k10.75,k10.76,k10.77,k10.78,k11.79,k11.80,k11.81,k11.82,k11.83,k12.84,k12.85,k13.86,k13.87,k13.88,k13.89,k13.90,k13.91,k13.92,k13.93,k14.94,k14.95,k14.96
2021/02/24 11:19:57,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1969,Pria,S2/S3,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,3-5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Jaringan internet yang tidak bagus; Tidak memiliki perangkat untuk melakukan aktivitas online,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,Membantu anamnesa pasien; Melaksanakan dan mengawasi kesehatan lingkungan,Lebih dari 5 jam,1-3 jam,Kurang dari 1 jam,1-3 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",Makan/minum  100.009,Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili,Alamat kontak erat tidak ditemukan; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya),Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi; Kekurangan SDM untuk melakukan pelaporan,4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp; SMS; Telepon; Kunjungan langsung,WhatsApp; Telepon,Form Excel,Form Excel; WhatsApp Group,Setiap hari,5,4,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Menyimpan dan memindahkan data secara offline dan mudah; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat,"Rp3.000.001,00 - Rp4.000.000,00",Ya,Abdul Gofur
2021/02/24 11:18:35,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1979,Pria,Diploma/S1,Mengikuti secara penuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,Lebih dari 5 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Membantu piket di posko P3K",Lebih dari 5 jam,3-5 jam,1-3 jam,Lebih dari 5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,,Puskesmas,,,,,Puskesmas,,,,"Rp300.001,00 - Rp500.000,00","Rp100.000,00 - Rp300.000,00",,Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili,Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya),Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan,4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp; Telepon; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel; Aplikasi Pelaporan (Pikobar); New All Record (NAR); Aplikasi milik Kab/Kota,Form Excel; Aplikasi Pelaporan (Pikobar); New All Record (NAR); WhatsApp Group; Aplikasi milik Kab/Kota,Setiap hari,5,5,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mengetahui pasien yang memiliki komorbid dan yang sudah diswab; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi,"Rp3.000.001,00 - Rp4.000.000,00",Ya,Suhendi
2021/02/24 11:18:19,Kesehatan lingkungan/satgas covid,Puskesmas,1997,Wanita,Diploma/S1,Mengikuti sebagian,Ya,Entri dan rekap data,Setuju,Setuju,Setuju,Setuju,Sangat setuju,Netral,Netral,Tidak setuju,Netral,Setuju,Setuju,Netral,Netral,Setuju,Netral,Sangat setuju,Setuju,Setuju,Setuju,Sangat setuju,Sangat setuju,Sangat setuju,Setuju,Netral,Setuju,Sangat setuju,Setuju,Tidak setuju,Sangat setuju,Setuju,Tidak setuju,Setuju,Netral,Setuju,Setuju,Netral,Sangat setuju,Netral,Setuju,"Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Berperan aktif dalam mengatasi pandemi; Adanya insentif tambahan,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,3-5 jam,Mudah,Jaringan internet yang tidak bagus; Tidak memiliki perangkat untuk melakukan aktivitas online; Menggunakan data seluler pribadi ketika berada dirumah,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,Rizki Amalia Putri
2021/02/24 11:11:40,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1968,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Sangat sulit (sering meminta bantuan orang lain dalam melakukan aktivitas online),Jaringan internet yang tidak bagus; Tidak terbiasa melakukan aktivitas online,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Melakukan analisis di laboratorium",3-5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,Puskesmas,,,,Pribadi,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Rp300.001,00 - Rp500.000,00",10000000,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Lintas sektor (kelurahan, RT/RW) tidak kooperatif","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi; Kekurangan SDM untuk melakukan pelaporan,5,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Mendapat insentif/reward yang sesuai,WhatsApp; Telepon,WhatsApp; Telepon,Form Excel; Aplikasi Pelaporan (Pikobar); New All Record (NAR),Form Excel; New All Record (NAR); WhatsApp Group,2-3 hari sekali,5,5,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Menerima hasil swab secara cepat,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Eti sunenti
2021/02/24 11:11:01,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1974,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,1-3 jam,Mudah,Jaringan internet yang tidak bagus; Tidak terbiasa melakukan aktivitas online; Tidak memiliki perangkat untuk melakukan aktivitas online,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Menjaga dan merawat pasien di IGD, rawat inap atau PONED",3-5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,Puskesmas,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",100000,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus; Lintas sektor (kelurahan, RT/RW) tidak kooperatif","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan; Kesulitan untuk menemukan kembali arsip kertas form PE,3,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon,WhatsApp; Telepon,Form PE kertas; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR),4-5 hari sekali,5,3,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Menyimpan dan memindahkan data secara offline dan mudah,,Ya,Euis Sri nurhasanah
2021/02/24 11:06:03,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1982,Pria,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sangat sulit (sering meminta bantuan orang lain dalam melakukan aktivitas online),Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,Membantu anamnesa pasien; Melaksanakan dan mengawasi kesehatan lingkungan,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,,,,,,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Rp300.001,00 - Rp500.000,00",,"Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer),Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi; Kekurangan SDM untuk melakukan pelaporan; Kesulitan untuk menemukan kembali arsip kertas form PE,4,Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Aplikasi milik Kab/Kota,Aplikasi milik Kab/Kota,Setiap hari,5,5,Memperoleh data secara cepat dan akurat tentang riwayat pasien; Menyimpan dan memindahkan data secara offline dan mudah; Melakukan pelaporan dengan lebih praktis,"Rp1.000.000,00 - Rp2.000.000,00",Ya,HERI SUPENA
2021/02/24 11:02:15,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1984,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,"Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu)",Lebih dari 5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,Lebih dari 5 jam,Lebih dari 5 jam,Pribadi,,,,,Pribadi,,,,,"Rp300.001,00 - Rp500.000,00","Rp300.001,00 - Rp500.000,00",,Alamat kasus konfirmasi tidak sesuai dengan domisili; Keterlambatan rilis informasi kasus,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,3,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh,WhatsApp,WhatsApp,Form PE kertas,New All Record (NAR),Setiap hari,3,3,Melakukan pelaporan dengan lebih praktis,"Lebih dari Rp 4.000.000,00",Ya,Hj Mila Kusumah Dewi Damayanti
2021/02/24 10:58:20,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1979,Pria,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Diklat/seminar/pelatihan,Melaksanakan dan mengawasi kesehatan lingkungan,1-3 jam,3-5 jam,1-3 jam,3-5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,,,,,,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00","200 ribu, mamin tim p.e",Alamat kasus konfirmasi tidak sesuai dengan domisili,Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya,Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,3,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Mendapat insentif/reward yang sesuai; Dinkes Kab/Kota mengapresiasi pekerjaan saya,WhatsApp; Telepon; Kunjungan langsung,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Aplikasi Pelaporan (Pikobar); Aplikasi milik Kab/Kota,Aplikasi Pelaporan (Pikobar); WhatsApp Group; Aplikasi milik Kab/Kota,Setiap hari,5,4,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat,"Kurang dari Rp1.000.000,00",Ya,Asep nugraha setyawan
2021/02/24 10:48:17,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1980,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,Lebih dari 5 jam,Sulit,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,"Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Melakukan analisis di laboratorium",Lebih dari 5 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Keterlambatan rilis informasi kasus; Lintas sektor (kelurahan, RT/RW) tidak kooperatif",Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,3,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp,Telepon; Kunjungan langsung,Aplikasi milik Kab/Kota,WhatsApp Group,Setiap hari,4,4,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Karpinah
2021/02/24 10:48:02,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1975,Pria,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Membantu piket di posko P3K",1-3 jam,1-3 jam,1-3 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,Pribadi,Puskesmas,,,,Pribadi,Puskesmas,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,"Alamat kasus konfirmasi tidak lengkap; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer),Kesulitan untuk menemukan kembali arsip kertas form PE,4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp,WhatsApp; Telepon,Form Excel,Form Excel,2-3 hari sekali,5,5,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah,"Kurang dari Rp1.000.000,00",Ya,Sudiro Hendro
2021/02/24 10:45:59,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1980,Pria,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,1-3 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Membantu piket di posko P3K",1-3 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,3-5 jam,Kurang dari 1 jam,Kurang dari 1 jam,3-5 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Komputer internet lemot,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi; Kekurangan SDM untuk melakukan pelaporan,3,Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp; SMS; Telepon; Kunjungan langsung,WhatsApp; Kunjungan langsung,Form PE kertas; Aplikasi Pelaporan (Pikobar),Aplikasi Pelaporan (Pikobar),2-3 hari sekali,3,4,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Melakukan pelaporan dengan lebih praktis; Menerima hasil swab secara cepat,"Rp2.000.001,00 - Rp3.000.000,00",Ya,Nugroho
2021/02/24 10:44:05,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1998,Pria,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,Melaksanakan dan mengawasi kesehatan lingkungan,Lebih dari 5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,Puskesmas,,,,Pribadi,Puskesmas,,,,"Kurang dari Rp100.000,00","Rp500.001,00 - Rp700.000,00",,"Alamat kasus konfirmasi tidak lengkap; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,tidak ada,2,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh; Pekerjaan saya bisa membantu masyarakat,WhatsApp,WhatsApp; SMS; Telepon; Kunjungan langsung,Form PE kertas; Form Excel,Form Excel,Tidak pernah,,3,Memperoleh data secara cepat dan akurat tentang riwayat pasien; Melakukan pelaporan dengan lebih praktis; Menerima hasil swab secara cepat,"Rp2.000.001,00 - Rp3.000.000,00",Ya,Roddrick Goworizki
2021/02/24 10:31:56,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1975,Pria,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Sulit,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan,Melaksanakan dan mengawasi kesehatan lingkungan,3-5 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,1-3 jam,3-5 jam,Kurang dari 1 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00","Pengiriman sampel swab ke Dinkes Kabupaten Rp 280,000","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus",Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan,1,Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Pekerjaan saya bisa membantu masyarakat,WhatsApp; Telepon,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel; New All Record (NAR),Form Excel; WhatsApp Group,Tidak pernah,,5,Memperoleh data secara cepat dan akurat tentang riwayat pasien; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah,"Kurang dari Rp1.000.000,00",Ya,Dang Fitir Abel Eid
2021/02/24 10:26:52,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1973,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sulit,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Membantu wanita mulai dari kehamilan hingga melahirkan",3-5 jam,1-3 jam,1-3 jam,Lebih dari 5 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Lebih dari Rp700.000,00",,"Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan,3,Kontak erat/kasus konfirmasi berhasil sembuh; Mendapat insentif/reward yang sesuai; Pekerjaan saya bisa membantu masyarakat,WhatsApp,WhatsApp,Form Excel; Aplikasi milik Kab/Kota,Aplikasi milik Kab/Kota,Tidak pernah,,3,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Transfer knowledge mengenai data kasus kepada kolega non-surveilans dengan mudah; Mengetahui pasien yang memiliki komorbid dan yang sudah diswab,"Lebih dari Rp 4.000.000,00",Ya,ROMI SRI ENDEN
